image_filename,SQL+semantic query,text query
SELECT DISTINCT id from objects WHERE class_name='person' INTERSECT SELECT DISTINCT id from objects WHERE class_name= 'banana' SEMANTIC 'person eat banana',Images have person eating banana
SELECT DISTINCT id from objects WHERE class_name='person' INTERSECT SELECT DISTINCT id from objects WHERE class_name= 'apple' SEMANTIC 'person eat apple',Images have person eating apple
SELECT DISTINCT id from objects WHERE class_name='person' INTERSECT SELECT DISTINCT id from objects WHERE class_name= 'sandwich' SEMANTIC 'person eat sandwich',Images have person eating sandwich
SELECT DISTINCT id from objects WHERE class_name='person' INTERSECT SELECT DISTINCT id from objects WHERE class_name= 'orange' SEMANTIC 'person eat orange',Images have person eating orange
SELECT DISTINCT id from objects WHERE class_name='person' INTERSECT SELECT DISTINCT id from objects WHERE class_name= 'broccoli' SEMANTIC 'person eat broccoli',Images have person eating broccoli
SELECT DISTINCT id from objects WHERE class_name='person' INTERSECT SELECT DISTINCT id from objects WHERE class_name= 'carrot' SEMANTIC 'person eat carrot',Images have person eating carrot
SELECT DISTINCT id from objects WHERE class_name='person' INTERSECT SELECT DISTINCT id from objects WHERE class_name= 'hot dog' SEMANTIC 'person eat hot dog',Images have person eating hot dog
SELECT DISTINCT id from objects WHERE class_name='person' INTERSECT SELECT DISTINCT id from objects WHERE class_name= 'pizza' SEMANTIC 'person eat pizza',Images have person eating pizza
SELECT DISTINCT id FROM objects WHERE class_name='bicycle' AND  y2 > 200 SEMANTIC 'red bicycle',Images having red bicycle in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='bicycle' AND  y2 > 200 SEMANTIC 'blue bicycle',Images having blue bicycle in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='bicycle' AND  y2 > 200 SEMANTIC 'yellow bicycle',Images having yellow bicycle in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='bicycle' AND  y2 > 200 SEMANTIC 'green bicycle',Images having green bicycle in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='car' AND  y2 > 200 SEMANTIC 'red car',Images having red car in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='car' AND  y2 > 200 SEMANTIC 'blue car',Images having blue car in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='car' AND  y2 > 200 SEMANTIC 'yellow car',Images having yellow car in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='car' AND  y2 > 200 SEMANTIC 'green car',Images having green car in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='motorcycle' AND  y2 > 200 SEMANTIC 'red motorcycle',Images having red motorcycle in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='motorcycle' AND  y2 > 200 SEMANTIC 'blue motorcycle',Images having blue motorcycle in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='motorcycle' AND  y2 > 200 SEMANTIC 'yellow motorcycle',Images having yellow motorcycle in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='motorcycle' AND  y2 > 200 SEMANTIC 'green motorcycle',Images having green motorcycle in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='airplane' AND  y2 > 200 SEMANTIC 'red airplane',Images having red airplane in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='airplane' AND  y2 > 200 SEMANTIC 'blue airplane',Images having blue airplane in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='airplane' AND  y2 > 200 SEMANTIC 'yellow airplane',Images having yellow airplane in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='airplane' AND  y2 > 200 SEMANTIC 'green airplane',Images having green airplane in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='bus' AND  y2 > 200 SEMANTIC 'red bus',Images having red bus in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='bus' AND  y2 > 200 SEMANTIC 'blue bus',Images having blue bus in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='bus' AND  y2 > 200 SEMANTIC 'yellow bus',Images having yellow bus in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='bus' AND  y2 > 200 SEMANTIC 'green bus',Images having green bus in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='train' AND  y2 > 200 SEMANTIC 'red train',Images having red train in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='train' AND  y2 > 200 SEMANTIC 'blue train',Images having blue train in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='train' AND  y2 > 200 SEMANTIC 'yellow train',Images having yellow train in the bottom corner
SELECT DISTINCT id FROM objects WHERE class_name='train' AND  y2 > 200 SEMANTIC 'green train',Images having green train in the bottom corner
